"Reporting Starts","Reporting Ends","Ad Set Name","DMA Region",Budget,"Budget Type","Amount Spent (USD)","Amount Spent Today (USD)","CTR (All)","CTR (Link Click-Through Rate)","CPC (Cost per Link Click) (USD)","Link Clicks","Cost per Website Lead (USD)","Website Leads","Cost per Lead (Form) (USD)","Leads (Form)","Offer Claims","Cost per Offer Claim (USD)","Cost per Website Content Views (USD)","Cost per Website Purchase (USD)","Cost per Page Like (USD)","Post Reactions"
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Detroit,5,Daily,0.49,0.49,25.925925925926,7.4074074074074,0.245,2,,,0.49,1,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Boston (Manchester)",5,Daily,0.11,0.11,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Pittsburgh,5,Daily,0.16,0.16,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Buffalo,5,Daily,0.03,0.03,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Greensboro-H.Point-W.Salem,5,Daily,0.06,0.06,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Indianapolis,5,Daily,0.09,0.09,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Tallahassee-Thomasville,5,Daily,0.07,0.07,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Columbus, OH",5,Daily,0.07,0.07,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Norfolk-Portsmth-Newpt Nws",5,Daily,0.17,0.17,6.6666666666667,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Richmond-Petersburg,5,Daily,0.14,0.14,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Raleigh-Durham (Fayetvlle)",5,Daily,0.72,0.72,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Gainesville,5,Daily,0.01,0.01,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"St. Louis",5,Daily,0.12,0.12,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Minneapolis-St. Paul",5,Daily,0.03,0.03,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Milwaukee,5,Daily,0.09,0.09,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"New Orleans",5,Daily,0.08,0.08,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Memphis,5,Daily,0.33,0.33,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Nashville,5,Daily,0.09,0.09,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Columbus-Tupelo-W Pnt-Hstn",5,Daily,0,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Baton Rouge",5,Daily,0,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,"Phoenix (Prescott)",5,Daily,0.1,0.1,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,LeadVid2zmlng_DejFir_hotWBigAAHyng+_AllD,Fresno-Visalia,5,Daily,0.02,0.02,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","New York",10,Daily,0.24,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Philadelphia,10,Daily,0.05,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Detroit,10,Daily,0.06,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Boston (Manchester)",10,Daily,0.05,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Savannah,10,Daily,0,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Pittsburgh,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Cleveland-Akron (Canton)",10,Daily,0.03,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Washington, DC (Hagrstwn)",10,Daily,0.1,0,10,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Baltimore,10,Daily,0.07,0,80,,,,,,0.07,1,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Buffalo,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Charlotte,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Greensboro-H.Point-W.Salem,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Charleston, SC",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Augusta-Aiken,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Atlanta,10,Daily,0.16,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Indianapolis,10,Daily,0.05,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Miami-Ft. Lauderdale",10,Daily,0.04,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Louisville,10,Daily,0,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Tallahassee-Thomasville,10,Daily,0.02,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Hartford & New Haven",10,Daily,0.03,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Orlando-Daytona Bch-Melbrn",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Columbus, OH",10,Daily,0.1,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Tampa-St. Pete (Sarasota)",10,Daily,0.09,0,33.333333333333,,,,,,,,,,,,,1
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Norfolk-Portsmth-Newpt Nws",10,Daily,0.02,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Greenville-N.Bern-Washngtn,10,Daily,0.06,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Columbia, SC",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","West Palm Beach-Ft. Pierce",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Lansing,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Richmond-Petersburg,10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Bluefield-Beckley-Oak Hill",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Raleigh-Durham (Fayetvlle)",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Jacksonville,10,Daily,0.02,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy","Myrtle Beach-Florence",10,Daily,0.01,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Roanoke-Lynchburg,10,Daily,0.02,0,0,,,,,,,,,,,,,
2017-04-28,2017-05-14,"LeadVid2zmlng_DejFir_WBig+AAHyng_AllD - Copy",Chicago,10,Daily,0.32,0,6.6666666666667,,,,,,,,,,,,,
