Reporting Starts,Reporting Ends,Ad Name,Impression Device,Delivery,Amount Spent (USD),Amount Spent Today (USD),Unique CTR (Link Click-Through Rate),Relevance Score,CTR (All),CTR (Link Click-Through Rate),CPC (Cost per Link Click) (USD),Cost per Website Content Views (USD),Cost per Website Checkout Initiated (USD),Cost per Website Registration Completed (USD),Cost per Website Lead (USD),Cost per Website Search (USD),Cost per Website Add to Wishlist (USD),Cost per Page Like (USD),Video Percentage Watched,Cost per 10-Second Video View (USD),Post Reactions,Post Comments,Post Shares,Positive Feedback,Link Clicks,Website Registrations Completed,Website Leads,Website Purchases,Website Checkouts Initiated Conversion Value,Website Adds to Wishlist,Website Checkouts Initiated,Website Searches,Video Watches at 50%,Video Watches at 75%,Reach,Results,Result Indicator,3-Second Video Views,Video Average Watch Time,Button Clicks
2017-06-01,2017-06-30,ProBook1_Teach,Android Smartphone,not_delivering,8.42,0,0.471142521,,1.26002291,0.458190149,2.105,,,2.806666667,,1.202857143,,,0,,5,,3,,4,3,,,,,,7,,,849,12,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,Retarg2_Meetme1_20170617_AllD_adtxt,Android Smartphone,not_delivering,8.83,0,0.744878957,,2.697841727,0.71942446,2.2075,,,,,,,,0,,2,,,,4,,,,,,,,,,537,4,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,ShLeadVid2zmlng_lin_CarMotMet3554_AllD,Android Smartphone,not_delivering,2.04,0,0,,7.272727273,,,,,,,,,,0,,,,,,,,,,,,,,,,54,,,,0:00:00,
2017-06-01,2017-06-30,Jun23talk_SavCar_Pg_SubCarDevMix2,Android Smartphone,not_delivering,4.38,0,0,,3.174603175,,,,,,,,,,0,,5,,,,,,,,,,,,,,181,6,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_LdCLkRTPPgrad_Mobile,Android Smartphone,not_delivering,1.53,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,77,,,,0:00:00,
2017-06-01,2017-06-30,ShEmLeadVid2zmlng_lin_LdCLkRTP_AllD,Android Smartphone,not_delivering,7.47,0,1.126760563,,2.989130435,1.086956522,1.8675,,,,,,,,0,,,,,,4,,,,,,,,,,355,1,actions:leadgen.other,,0:00:00,
2017-06-01,2017-06-30,LdLkSubUS_2544_Meetme1_20170617_AllD_adtxt,Android Smartphone,not_delivering,36.42,0,0.840150343,,4.226240538,0.820016821,0.933846154,,,,36.42,12.14,,9.105,0,,11,,4,,39,,1,,,,,3,,,4523,39,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,Pwr_FearLightVid_Comp,Android Smartphone,not_delivering,4.71,0,1.587301587,,4.204204204,1.501501502,0.942,1.57,,,,,,4.71,13.59,0.11775,,,,,5,,,,,,,,20,11,315,3,actions:offsite_conversion.fb_pixel_view_content,110,0:00:06,
2017-06-01,2017-06-30,Jun23talk_SavCar_Pg_Retarg25,Android Smartphone,not_delivering,3.68,0,0,,2.631578947,,,,,,,,,,0,,7,,,,,,,,,,,,,,174,7,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,ProBook1_LkPageUSCanEur - Copy,Android Smartphone,not_delivering,1.55,0,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,62,,,,0:00:00,
2017-06-01,2017-06-30,ProBook1_subcardevmix2_AllD,Android Smartphone,not_delivering,6.85,0,2.209944751,,5.291005291,2.116402116,1.7125,,,6.85,,1.7125,,6.85,0,,4,,,,4,1,,,,,,4,,,181,8,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,subcardevmix2_Meetme1_20170617_AllD_adtxt,Android Smartphone,not_delivering,29.19,0,1.089531028,,6.150341686,1.093394077,1.21625,,,,29.19,,,29.19,0,,5,,2,,24,,1,,,,,,,,2111,24,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,ProBook_xPgInst_6txt_SendLane2544,Android Smartphone,not_delivering,9.69,0,0.540540541,,1.065449011,0.456621005,3.23,,,1.076666667,,4.845,,9.69,0,,,,,,3,9,,,,,,2,,,555,9,actions:offsite_conversion.fb_pixel_complete_registration,,0:00:00,
2017-06-01,2017-06-30,SFSMixRTP_Meetme1_20170617_AllD_adtxt,Android Smartphone,not_delivering,5.56,0,0.4784689,,3.276131045,0.468018721,1.853333333,,,,,,,,0,,,,,,3,,,,,,,,,,627,3,actions:link_click,,0:00:00,
2017-06-01,2017-06-30,LeadVid2zmlng_lin_ALLNCCarPgrad_CarMotMet3554_380k_Mobile,Android Smartphone,not_delivering,11.15,0,1.486988848,,4.710144928,1.811594203,2.23,,,,,,,,0,,,,,,5,,,,,,,,,,269,1,actions:leadgen.other,,0:00:00,
2017-06-01,2017-06-30,Jun23talk_SavCar_LkPage,Android Smartphone,not_delivering,8.17,0,0.337837838,,5.330243337,0.23174971,4.085,,,,,,,,0,,42,1,,,2,,,,,,,,,,592,47,actions:post_engagement,,0:00:00,
2017-06-01,2017-06-30,OfficePolitics_LkAL_RTP_Charlotte,Android Smartphone,not_delivering,3.62,0,0,,2.586206897,,,,,,,,,3.62,0,,51,,,,,,,,,,,,,,461,54,actions:post_engagement,,0:00:00,
