Reporting Starts,Reporting Ends,Ad Set Name,DMA Region,Budget,Budget Type,Delivery,Amount Spent (USD),Amount Spent Today (USD),Unique CTR (Link Click-Through Rate),CTR (All),CTR (Link Click-Through Rate),CPC (Cost per Link Click) (USD),Cost per Website Content Views (USD),Cost per Website Checkout Initiated (USD),Cost per Website Registration Completed (USD),Cost per Website Lead (USD),Cost per Website Search (USD),Cost per Website Add to Wishlist (USD),Cost per Page Like (USD),Video Percentage Watched,Cost per 10-Second Video View (USD),Post Reactions,Post Comments,Post Shares,Link Clicks,Website Registrations Completed,Website Leads,Website Purchases,Website Checkouts Initiated Conversion Value,Website Adds to Wishlist,Website Checkouts Initiated,Website Searches,Video Watches at 50%,Video Watches at 75%,Reach,Results,Result Indicator,3-Second Video Views,Video Average Watch Time,Button Clicks
2017-01-02,2017-09-18,Pwr2_MercerInst_EnergyCarousel,"Washington, DC (Hagrstwn)",25,Lifetime,inactive,12.15,0,1.984732824,2.828854314,1.98019802,0.867857143,1.215,,,,,,,0,,,,,14,,,,,,,,,,655,10,actions:offsite_conversion.fb_pixel_view_content,,0:00:00,
2017-01-02,2017-09-18,Pwr2_MercerWEntDCInst_EnergyCarousel,"Washington, DC (Hagrstwn)",25,Lifetime,inactive,6.05,0,0,0.985221675,,,6.05,,,,,,,0,,,,,,,,,,,,,,,200,1,actions:offsite_conversion.fb_pixel_view_content,,0:00:00,
2017-01-02,2017-09-18,Pwr2_RTP4562_vidEnergyCarousel,Raleigh-Durham (Fayetvlle),150,Lifetime,inactive,12.59,0,0.70977918,2.429378531,0.677966102,1.049166667,1.398888889,,,,,,,0,,1,,,12,,,,,,,,,,1268,9,actions:offsite_conversion.fb_pixel_view_content,303,0:00:00,1
2017-01-02,2017-09-18,Pwr2_RTP4562_vidEnergyCarousel,Myrtle Beach-Florence,150,Lifetime,inactive,0.27,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,21,,,5,0:00:00,
2017-01-02,2017-09-18,Pwr2_RTP4562_vidEnergyCarousel,Roanoke-Lynchburg,150,Lifetime,inactive,0.01,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Non-DMA Region,150,Lifetime,inactive,0.27,0,0,0,,,,,,,,,,0,0.0225,,,,,,,,,,,,10,7,8,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,New York,150,Lifetime,inactive,0.22,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,13,,,2,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Macon,150,Lifetime,inactive,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Philadelphia,150,Lifetime,inactive,0.04,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Detroit,150,Lifetime,inactive,0.04,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,3,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Boston (Manchester),150,Lifetime,inactive,0.05,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Pittsburgh,150,Lifetime,inactive,0.01,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Ft. Wayne,150,Lifetime,inactive,0.01,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Cleveland-Akron (Canton),150,Lifetime,inactive,0.04,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,"Washington, DC (Hagrstwn)",150,Lifetime,inactive,0.28,0,0,11.11111111,,,,,,,,,,0,,,,,,,,,,,,,,,8,,,2,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Baltimore,150,Lifetime,inactive,0.02,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Flint-Saginaw-Bay City,150,Lifetime,inactive,0.05,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Buffalo,150,Lifetime,inactive,0.09,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Charlotte,150,Lifetime,inactive,0.29,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,4,,,2,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Greensboro-H.Point-W.Salem,150,Lifetime,inactive,0.02,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,"Charleston, SC",150,Lifetime,inactive,0.02,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Augusta-Aiken,150,Lifetime,inactive,0.03,0,0,33.33333333,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Atlanta,150,Lifetime,inactive,0.17,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,9,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Indianapolis,150,Lifetime,inactive,0.01,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Miami-Ft. Lauderdale,150,Lifetime,inactive,0.14,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,3,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Hartford & New Haven,150,Lifetime,inactive,0.05,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Orlando-Daytona Bch-Melbrn,150,Lifetime,inactive,0.13,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,"Columbus, OH",150,Lifetime,inactive,0.01,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Toledo,150,Lifetime,inactive,0.03,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,West Palm Beach-Ft. Pierce,150,Lifetime,inactive,0.02,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Richmond-Petersburg,150,Lifetime,inactive,0.02,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,1,0:00:00,
2017-01-02,2017-09-18,Pwr2_retargteach_vidEnergyCarousel,Raleigh-Durham (Fayetvlle),150,Lifetime,inactive,0.86,0,0,6.12244898,,,0.86,,,,,,,0,,,,,,,,,,,,,,,20,1,actions:offsite_conversion.fb_pixel_view_content,11,0:00:00,
