"Reporting Starts","Reporting Ends","Ad Set Name",Age,Gender,Delivery,Results,"Result Indicator",Reach,Frequency,"Cost per Results",Budget,"Budget Type","Amount Spent (USD)",Ends,Starts,"Clicks (All)","CTR (All)","CPC (All) (USD)",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","Link Clicks","CPC (Cost per Link Click) (USD)","CTR (Link Click-Through Rate)"
2017-06-21,2017-07-17,ProBook_xPg_6txt_SendLane2544,25-34,female,completed,1,actions:offsite_conversion.fb_pixel_complete_registration,552,1.2119565217391,7.93,7,Daily,7.93,2017-06-28,2017-06-25,12,1.7937219730942,0.66083333333333,669,11.853512705531,1,7.93,0.14947683109118
2017-06-21,2017-07-17,ProBook_xPg_6txt_SendLane2544,25-34,male,completed,,,23,1.304347826087,,7,Daily,0.27,2017-06-28,2017-06-25,0,0,0,30,9,,,
2017-06-21,2017-07-17,ProBook_xPg_6txt_SendLane2544,25-34,unknown,completed,,,6,1,,7,Daily,0.06,2017-06-28,2017-06-25,0,0,0,6,10,,,
2017-06-21,2017-07-17,ProBook_xPg_6txt_SendLane2544,35-44,female,completed,10,actions:offsite_conversion.fb_pixel_complete_registration,424,1.2688679245283,0.653,7,Daily,6.53,2017-06-28,2017-06-25,5,0.92936802973978,1.306,538,12.137546468401,3,2.1766666666667,0.55762081784387
2017-06-21,2017-07-17,ProBook_xPg_6txt_SendLane2544,35-44,male,completed,,,13,1.3846153846154,,7,Daily,0.11,2017-06-28,2017-06-25,0,0,0,18,6.1111111111111,,,
2017-06-21,2017-07-17,ProBook_xPg_6txt_SendLane2544,35-44,unknown,completed,,,11,1.1818181818182,,7,Daily,0.13,2017-06-28,2017-06-25,0,0,0,13,10,,,
2017-06-21,2017-07-17,ProBook_AllPg_75kAccSeLaneReg,18-24,female,active,,,50,1.16,,5,Daily,0.61,2017-07-25,2017-07-12,0,0,0,58,10.51724137931,,,
2017-06-21,2017-07-17,ProBook_AllPg_75kAccSeLaneReg,25-34,female,active,1,actions:offsite_conversion.fb_pixel_complete_registration,342,1.4649122807018,3.69,5,Daily,3.69,2017-07-25,2017-07-12,8,1.5968063872255,0.46125,501,7.3652694610778,3,1.23,0.59880239520958
2017-06-21,2017-07-17,ProBook_AllPg_75kAccSeLaneReg,35-44,female,active,5,actions:offsite_conversion.fb_pixel_complete_registration,540,1.4037037037037,1.402,5,Daily,7.01,2017-07-25,2017-07-12,24,3.1662269129288,0.29208333333333,758,9.2480211081794,7,1.0014285714286,0.92348284960422
2017-06-21,2017-07-17,ProBook_AllPg_75kAccSeLaneReg,45-54,female,active,4,actions:offsite_conversion.fb_pixel_complete_registration,332,1.5180722891566,1.3275,5,Daily,5.31,2017-07-25,2017-07-12,9,1.7857142857143,0.59,504,10.535714285714,2,2.655,0.3968253968254
2017-06-21,2017-07-17,ProBook_AllPg_75kAccSeLaneReg,55-64,female,active,1,actions:offsite_conversion.fb_pixel_complete_registration,100,1.35,1.75,5,Daily,1.75,2017-07-25,2017-07-12,3,2.2222222222222,0.58333333333333,135,12.962962962963,1,1.75,0.74074074074074
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544hotreg,25-34,female,inactive,29,actions:offsite_conversion.fb_pixel_complete_registration,3325,1.7317293233083,1.4724137931034,7,Daily,42.7,2017-07-25,2017-06-21,75,1.3025356026398,0.56933333333333,5758,7.4157693643626,44,0.97045454545455,0.76415422021535
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544hotreg,25-34,male,inactive,1,actions:offsite_conversion.fb_pixel_complete_registration,110,2.2272727272727,0.85,7,Daily,0.85,2017-07-25,2017-06-21,2,0.81632653061224,0.425,245,3.469387755102,1,0.85,0.40816326530612
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544hotreg,25-34,unknown,inactive,,,28,1.9642857142857,,7,Daily,0.39,2017-07-25,2017-06-21,0,0,0,55,7.0909090909091,,,
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544hotreg,35-44,female,inactive,38,actions:offsite_conversion.fb_pixel_complete_registration,4491,1.6183478067246,1.8918421052632,7,Daily,71.89,2017-07-25,2017-06-21,98,1.348376444689,0.73357142857143,7268,9.8913043478261,45,1.5975555555556,0.61915244909191
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544hotreg,35-44,male,inactive,11,actions:offsite_conversion.fb_pixel_complete_registration,108,1.9444444444444,0.13636363636364,7,Daily,1.5,2017-07-25,2017-06-21,1,0.47619047619048,1.5,210,7.1428571428571,,,
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544hotreg,35-44,unknown,inactive,1,actions:offsite_conversion.fb_pixel_complete_registration,32,2,0.69,7,Daily,0.69,2017-07-25,2017-06-21,2,3.125,0.345,64,10.78125,1,0.69,1.5625
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544_DT,25-34,female,inactive,,,26,1.1538461538462,,7,Daily,0.74,2017-06-28,2017-06-21,0,0,0,30,24.666666666667,,,
2017-06-21,2017-07-17,ProBook_xPg_SendLane2544_DT,25-34,unknown,inactive,,,1,1,,7,Daily,0,2017-06-28,2017-06-21,0,0,0,1,0,,,
